,Property_name,Location,Rating,Review,Type_of_stay,price,Taxes_and_charges_inr,City,No_Of_Adults,No_Of_Children,Final_Price,Recommended for
422,nezer hostel & roof top cafe,leh,9.5,exceptional,2×4-bed mixed dormitory room2 shared dormitory rooms8 bunk bedsfree cancellationno prepayment needed– pay at the property,14000.0,1680.0,leh,7,0,15680.0,recommended for friends trip
423,the nangsay hotel,leh,8.8,fabulous,4×deluxe double room with balcony4 double bedsfree cancellationno prepayment needed– pay at the property,63939.0,7673.0,leh,7,0,71612.0,recommended for friends trip
424,honey bee,leh,9.2,superb,1×economy double room1 large double bedfree cancellationno prepayment needed– pay at the property,43050.0,5166.0,leh,7,0,48216.0,recommended for friends trip
425,"norbooling homestay, leh ladakh",leh,9.2,superb,3×double room with mountain view3 double bedsfree cancellationno prepayment needed– pay at the property,33800.0,4056.0,leh,7,0,37856.0,recommended for friends trip
426,youthok guest house,leh,9.0,superb,1×family room with bathroom4 single bedsfree cancellation,48000.0,5760.0,leh,7,0,53760.0,recommended for friends trip
427,monsoon grande,munnar,8.4,very good,5×grand deluxechoice of beds: double or singlesfree cancellation,54400.0,6528.0,munnar,10,0,60928.0,recommended for friends trip
428,veu munnar retreat,munnar,6.6,review score,4×deluxe room4 extra-large double bedsfree cancellationno prepayment needed– pay at the property,46000.0,5520.0,munnar,10,0,51520.0,recommended for friends trip
429,kurinji wanderlust resort munnar,munnar,8.4,very good,1×deluxe double room with balcony1 large double bed,45217.0,5426.0,munnar,10,0,50643.0,recommended for friends trip
430,7 malai munnar,munnar,8.2,No Review,5×double room with mountain view5 double bedsfree cancellationno prepayment needed– pay at the property,60000.0,7200.0,munnar,10,0,67200.0,recommended for friends trip
431,the hosteller munnar,munnar,8.2,very good,10×bed in 8 bed mixed dormitory with balcony and valley view10 beds in dormitories10 bunk bedsfree cancellation,28259.0,3391.0,munnar,10,0,31650.0,recommended for friends trip
432,green trees munnar,munnar,7.3,good,5×deluxe double room5 double bedsfree cancellationno prepayment needed– pay at the property,56250.0,6750.0,munnar,10,0,63000.0,recommended for friends trip
